timestamp,Temp,Pressure,manual_id,Humidity,Vibration,Speed,Age,Service_Days,Gas,Sparks,Shift,Exp,Training,machine_id,machine_type,custom_accident
2026-01-01 00:00:00,33.91632454952498,25.798543412143733,reactor_safety_manual,48.14,1.71,1686.8215000000002,9,131,3.024,4,Day,Senior,Yes,M-0101,REACTOR,0
2026-01-01 00:00:00,30.090842898075625,23.68626434711344,compressor_safety_manual,77.35,1.1288687679080864,3970.879296970797,10,276,1.8969999999999998,1,Night,Senior,No,M-0102,COMPRESSOR,0
2026-01-01 00:00:00,24.228296731313304,22.779,storage_tank_safety_manual,54.18,0.815,402.824,17,202,10.0,1,Day,Junior,Yes,M-0103,STORAGE_TANK,0
2026-01-01 00:00:00,24.517912051050104,18.209512051050105,pump_safety_manual,32.37,0.5892225159531579,2179.122410210021,19,360,2.4,4,Day,Senior,Yes,M-0104,PUMP,1
2026-01-01 00:15:00,34.54444563159861,21.62183422369896,reactor_safety_manual,72.7,1.7325,1867.8725000000002,12,217,1.2075,3,Night,Junior,Yes,M-0101,REACTOR,0
2026-01-01 00:15:00,26.554537705487554,24.020806558231328,compressor_safety_manual,47.83,0.7233602461508043,1389.588369009077,16,303,4.109,4,Day,Junior,No,M-0102,COMPRESSOR,0
2026-01-01 00:15:00,20.162684321135334,17.982,storage_tank_safety_manual,68.53,1.55,1065.824,7,217,10.0,3,Night,Junior,Yes,M-0103,STORAGE_TANK,0
2026-01-01 00:15:00,21.298426939029532,14.80562693902953,pump_safety_manual,73.54,3.455258418446728,2451.440387805906,8,204,3.1319999999999997,3,Day,Senior,No,M-0104,PUMP,0
2026-01-01 00:30:00,27.85596964887465,20.292877236655993,reactor_safety_manual,56.81,1.1775,1610.791,17,165,8.862,1,Day,Senior,Yes,M-0101,REACTOR,0
2026-01-01 00:30:00,32.163460289402224,27.728190434103333,compressor_safety_manual,35.07,0.35326387661347214,1390.341079585611,14,339,3.941,3,Night,Senior,No,M-0102,COMPRESSOR,0
2026-01-01 00:30:00,23.49397912936956,22.158,storage_tank_safety_manual,79.44,2.155,934.1080000000001,6,32,9.879042173513584,4,Day,Junior,No,M-0103,STORAGE_TANK,0
2026-01-01 00:30:00,25.695638270695152,22.742038270695154,pump_safety_manual,40.23,4.719886959592236,1335.3316541390307,8,153,1.212,1,Day,Senior,No,M-0104,PUMP,0
2026-01-01 00:45:00,36.89269377339826,20.748120330048692,reactor_safety_manual,71.09,3.4050000000000002,1908.4195000000002,17,23,10.0,3,Night,Junior,Yes,M-0101,REACTOR,0
2026-01-01 00:45:00,27.438132245927964,26.350198368891945,compressor_safety_manual,52.25,2.706557857593484,1682.1373676301898,18,225,0.476,1,Day,Senior,No,M-0102,COMPRESSOR,0
2026-01-01 00:45:00,18.071943747718233,22.104,storage_tank_safety_manual,42.29,1.745,1439.3000000000002,6,333,0.0,4,Night,Senior,No,M-0103,STORAGE_TANK,0
2026-01-01 00:45:00,24.098707066345167,19.889107066345165,pump_safety_manual,32.16,2.1288459582328643,3505.6014132690334,2,51,4.95,3,Day,Senior,No,M-0104,PUMP,0
2026-01-01 01:00:00,30.386851542140207,23.762138656605156,reactor_safety_manual,74.5,2.9925,1550.1005,15,40,2.1,2,Night,Junior,No,M-0101,REACTOR,0
2026-01-01 01:00:00,25.905636972640767,24.104455458961155,compressor_safety_manual,62.26,5.697341175530335,2482.0516674762107,18,357,5.901,1,Night,Senior,Yes,M-0102,COMPRESSOR,0
2026-01-01 01:00:00,21.24137111872447,17.388,storage_tank_safety_manual,77.93,2.07,543.148,3,355,10.0,1,Day,Senior,No,M-0103,STORAGE_TANK,0
2026-01-01 01:00:00,25.602265058066248,20.83706505806625,pump_safety_manual,72.82,3.412332830645703,2754.4110116132497,19,264,0.738,1,Night,Junior,Yes,M-0104,PUMP,0
2026-01-01 01:15:00,30.26069031003042,23.544767732522814,reactor_safety_manual,77.82,3.12,932.5680000000001,10,84,7.5285,0,Day,Junior,Yes,M-0101,REACTOR,0
2026-01-01 01:15:00,26.96744431973158,28.088166479597373,compressor_safety_manual,76.52,4.006256889882566,3912.964187926184,6,13,0.027999999999999997,0,Night,Junior,No,M-0102,COMPRESSOR,0
